Energy [eV]	Cross Section	Asymmetry Parameter
10.2	7.358	0.1009
15.0	8.57	0.003967
16.7	8.808	0.022609999999999998
20.0	9.14	0.07687000000000001
21.2	9.228	0.0992
25.0	9.404	0.1721
26.8	9.432	0.2064
30.0	9.392999999999999	0.2656
35.0	9.113	0.3518
40.0	8.616	0.4296
40.8	8.522	0.4413
45.0	7.985	0.4993
50.0	7.303	0.5619
55.0	6.63	0.6181
60.0	6.001	0.6688
65.0	5.428	0.7149
70.0	4.914	0.7568
75.0	4.455	0.7952
80.0	4.044	0.8305
85.0	3.676	0.863
90.0	3.344	0.893
95.0	3.0460000000000003	0.9208
100.0	2.7760000000000002	0.9465
105.0	2.533	0.9703
110.0	2.313	0.9923
115.0	2.116	1.013
120.0	1.9380000000000002	1.032
125.0	1.777	1.0490000000000002
130.0	1.633	1.0659999999999998
132.3	1.571	1.073
135.0	1.5030000000000001	1.081
140.0	1.385	1.095
145.0	1.2790000000000001	1.1079999999999999
150.0	1.183	1.12
151.4	1.158	1.123
155.0	1.097	1.131
160.0	1.018	1.141
165.0	0.9458	1.151
170.0	0.8802	1.16
175.0	0.8202	1.168
180.0	0.7652	1.176
185.0	0.7147	1.183
190.0	0.6683	1.189
195.0	0.6255	1.195
200.0	0.5861	1.2009999999999998
205.0	0.5496	1.206
210.0	0.516	1.2109999999999999
215.0	0.4848	1.215
220.0	0.456	1.219
225.0	0.4292	1.222
230.0	0.4044	1.226
235.0	0.3814	1.228
240.0	0.36	1.2309999999999999
245.0	0.3401	1.2329999999999999
250.0	0.3216	1.235
255.0	0.3043	1.237
260.0	0.2882	1.239
265.0	0.2732	1.24
270.0	0.2591	1.2409999999999999
275.0	0.24600000000000002	1.242
280.0	0.2337	1.2429999999999999
285.0	0.2221	1.2429999999999999
290.0	0.2113	1.2429999999999999
295.0	0.2011	1.244
300.0	0.1916	1.244
305.0	0.1826	1.244
320.0	0.1586	1.242
340.0	0.1324	1.239
360.0	0.1115	1.235
380.0	0.09452999999999999	1.229
400.0	0.08073999999999999	1.2229999999999999
420.0	0.06941	1.215
440.0	0.060020000000000004	1.207
460.0	0.05218	1.199
480.0	0.04558	1.19
500.0	0.04	1.181
520.0	0.03525	1.171
540.0	0.031180000000000003	1.162
560.0	0.02768	1.1520000000000001
580.0	0.024669999999999997	1.1420000000000001
600.0	0.02205	1.1320000000000001
620.0	0.01977	1.122
640.0	0.01778	1.112
660.0	0.016040000000000002	1.102
680.0	0.0145	1.092
700.0	0.01315	1.082
720.0	0.01195	1.073
740.0	0.010879999999999999	1.063
760.0	0.00993	1.054
780.0	0.009082999999999999	1.044
800.0	0.008324	1.035
850.0	0.0067469999999999995	1.012
900.0	0.005527000000000001	0.9907
950.0	0.00457	0.9699
1000.0	0.00381	0.9501
1041.0	0.0033009999999999997	0.9345
1050.0	0.003201	0.9312
1100.0	0.002709	0.9129999999999999
1150.0	0.002307	0.8957
1200.0	0.001977	0.8791
1250.0	0.001703	0.8632
1253.6	0.001685	0.8621
1300.0	0.001475	0.848
1350.0	0.001284	0.8336
1400.0	0.001123	0.8198
1450.0	0.0009857999999999998	0.8065
1486.6	0.0008984	0.7972
1500.0	0.0008689	0.7939
