Energy [eV]	Cross Section	Asymmetry Parameter
470.0	1.7069999999999999	0.4906
475.0	1.915	0.5456
480.0	1.9769999999999999	0.6212
485.0	1.9469999999999998	0.6879
490.0	1.8940000000000001	0.7454
495.0	1.844	0.7959999999999999
500.0	1.8019999999999998	0.8414
505.0	1.768	0.8828
510.0	1.736	0.9208
515.0	1.706	0.956
520.0	1.6740000000000002	0.9885
525.0	1.641	1.0190000000000001
530.0	1.6059999999999999	1.046
535.0	1.571	1.072
540.0	1.536	1.095
545.0	1.5019999999999998	1.117
550.0	1.469	1.136
555.0	1.4380000000000002	1.155
560.0	1.409	1.172
565.0	1.38	1.188
570.0	1.3530000000000002	1.202
575.0	1.327	1.216
580.0	1.301	1.229
585.0	1.276	1.242
590.0	1.251	1.253
595.0	1.227	1.264
600.0	1.203	1.274
605.0	1.18	1.284
610.0	1.157	1.2930000000000001
615.0	1.135	1.3019999999999998
620.0	1.113	1.31
625.0	1.092	1.318
630.0	1.071	1.3259999999999998
635.0	1.051	1.3330000000000002
640.0	1.032	1.339
645.0	1.013	1.3459999999999999
650.0	0.9944	1.3519999999999999
655.0	0.9765	1.357
660.0	0.9589	1.3630000000000002
665.0	0.9418	1.368
670.0	0.925	1.3730000000000002
675.0	0.9085	1.3769999999999998
680.0	0.8924	1.382
685.0	0.8766	1.386
690.0	0.8611	1.39
695.0	0.8459	1.3940000000000001
700.0	0.8311	1.3980000000000001
705.0	0.8165	1.401
710.0	0.8022	1.4040000000000001
715.0	0.7882	1.4080000000000001
720.0	0.7746	1.411
725.0	0.7613	1.4140000000000001
730.0	0.7482	1.416
735.0	0.7355	1.419
740.0	0.723	1.422
745.0	0.7108	1.4240000000000002
750.0	0.6990000000000001	1.426
755.0	0.6873	1.4280000000000002
760.0	0.6759	1.431
765.0	0.6648	1.433
780.0	0.6328	1.4380000000000002
800.0	0.5929	1.444
850.0	0.5061	1.455
900.0	0.4351	1.46
950.0	0.3764	1.462
1000.0	0.3275	1.4609999999999999
1041.0	0.2933	1.459
1050.0	0.2865	1.4580000000000002
1100.0	0.2519	1.454
1150.0	0.2226	1.449
1200.0	0.1975	1.442
1250.0	0.17600000000000002	1.435
1253.6	0.1746	1.435
1300.0	0.1574	1.4280000000000002
1350.0	0.1413	1.42
1400.0	0.1273	1.411
1450.0	0.115	1.403
1486.6	0.107	1.396
1500.0	0.1042	1.3940000000000001
