Energy [eV]	Cross Section	Asymmetry Parameter
40.0	5.227	1.9080000000000001
40.81	4.882	1.9569999999999999
45.0	3.324	1.97
50.0	2.096	1.7519999999999998
55.0	1.385	1.393
60.0	0.9815	0.9684
65.0	0.7488	0.5532
70.0	0.6111	0.2089
75.0	0.528	-0.03052
80.0	0.4774	-0.1604
85.0	0.4466	-0.1972
90.0	0.4278	-0.16699999999999998
95.0	0.41600000000000004	-0.09558
100.0	0.4082	-0.002933
105.0	0.4026	0.09755
110.0	0.3978	0.198
115.0	0.3935	0.2943
120.0	0.3891	0.3847
125.0	0.3846	0.4686
130.0	0.3799	0.5462
132.3	0.3777	0.5799
135.0	0.3749	0.6178
140.0	0.3697	0.6838
145.0	0.3642	0.7446
150.0	0.3585	0.8007
151.4	0.3569	0.8156
155.0	0.3526	0.8524
160.0	0.3466	0.9
165.0	0.3404	0.9439
170.0	0.3341	0.9844
175.0	0.3278	1.022
180.0	0.3215	1.056
185.0	0.3153	1.088
190.0	0.3091	1.1179999999999999
195.0	0.3029	1.145
200.0	0.2969	1.171
205.0	0.2909	1.195
210.0	0.285	1.218
215.0	0.2792	1.239
220.0	0.2736	1.2590000000000001
225.0	0.268	1.278
230.0	0.2625	1.295
235.0	0.2572	1.3119999999999998
240.0	0.2519	1.328
245.0	0.2468	1.3430000000000002
250.0	0.2417	1.357
255.0	0.2368	1.371
260.0	0.23199999999999998	1.3840000000000001
265.0	0.2273	1.396
270.0	0.2228	1.4069999999999998
275.0	0.2183	1.4180000000000001
280.0	0.214	1.429
285.0	0.2097	1.4380000000000002
290.0	0.2056	1.4480000000000002
295.0	0.2016	1.4569999999999999
300.0	0.1977	1.465
305.0	0.1939	1.474
310.0	0.1902	1.4809999999999999
315.0	0.1866	1.489
320.0	0.183	1.496
325.0	0.1796	1.5030000000000001
330.0	0.1762	1.51
335.0	0.17300000000000001	1.516
340.0	0.1698	1.5219999999999998
360.0	0.1577	1.544
380.0	0.1469	1.5630000000000002
400.0	0.13699999999999998	1.579
420.0	0.1281	1.5919999999999999
440.0	0.1199	1.604
460.0	0.1125	1.614
480.0	0.1057	1.6230000000000002
500.0	0.09942000000000001	1.631
520.0	0.09369	1.6380000000000001
540.0	0.08843	1.643
560.0	0.08357	1.6480000000000001
580.0	0.07909	1.653
600.0	0.07493	1.656
620.0	0.07107999999999999	1.66
640.0	0.0675	1.662
660.0	0.06418	1.665
680.0	0.06109	1.666
700.0	0.0582	1.6680000000000001
720.0	0.0555	1.669
740.0	0.05297	1.67
760.0	0.0506	1.671
780.0	0.04838	1.671
800.0	0.04629	1.672
850.0	0.0416	1.672
900.0	0.03755	1.671
950.0	0.03403	1.669
1000.0	0.03095	1.666
1041.0	0.028710000000000003	1.6640000000000001
1050.0	0.028239999999999998	1.6640000000000001
1100.0	0.02585	1.66
1150.0	0.02373	1.6569999999999998
1200.0	0.021840000000000002	1.653
1250.0	0.02016	1.649
1253.6	0.020040000000000002	1.649
1300.0	0.01864	1.645
1350.0	0.017269999999999997	1.64
1400.0	0.016040000000000002	1.636
1450.0	0.01492	1.631
1486.6	0.014169999999999999	1.6280000000000001
1500.0	0.013909999999999999	1.626
