energy,cross_section,asymmetry_parameter
10.2,0.3564,2
15.0,0.3543,2
16.7,0.3345,2
20.0,0.2958,2
21.2,0.2827,2
25.0,0.2466,2
26.8,0.2319,2
30.0,0.2092,2
35.0,0.1802,2
40.0,0.1569,2
40.8,0.1536,2
45.0,0.1377,2
50.0,0.1215,2
55.0,0.1078,2
60.0,0.09612,2
65.0,0.0861,2
70.0,0.0775,2
75.0,0.0701,2
80.0,0.06371,2
85.0,0.05818,2
90.0,0.053360000000000005,2
95.0,0.04915,2
100.0,0.04545,2
105.0,0.04217,2
110.0,0.03927,2
115.0,0.03667,2
120.0,0.03435,2
125.0,0.03225,2
130.0,0.03037,2
132.3,0.029560000000000006,2
135.0,0.02866,2
140.0,0.02711,2
145.0,0.02569,2
150.0,0.0244,2
151.4,0.02406,2
155.0,0.02322,2
160.0,0.02213,2
165.0,0.02114,2
170.0,0.02021,2
175.0,0.01936,2
180.0,0.01856,2
185.0,0.01782,2
190.0,0.017130000000000003,2
195.0,0.01648,2
200.0,0.01587,2
205.0,0.01529,2
210.0,0.01475,2
215.0,0.01423,2
220.0,0.01375,2
225.0,0.013280000000000002,2
230.0,0.01284,2
235.0,0.01242,2
240.0,0.01202,2
245.0,0.01164,2
250.0,0.01127,2
255.0,0.01092,2
260.0,0.01059,2
265.0,0.01028,2
270.0,0.009971,2
275.0,0.009681,2
280.0,0.009403,2
285.0,0.009138,2
290.0,0.008883,2
295.0,0.008639,2
300.0,0.008406,2
305.0,0.008182,2
320.0,0.0075629999999999985,2
340.0,0.006847,2
360.0,0.006234,2
380.0,0.005705,2
400.0,0.005247,2
420.0,0.0048460000000000005,2
440.0,0.004493,2
460.0,0.004179,2
480.0,0.003899,2
500.0,0.003646,2
520.0,0.0034170000000000003,2
540.0,0.0032090000000000005,2
560.0,0.00302,2
580.0,0.002847,2
600.0,0.002689,2
620.0,0.002545,2
640.0,0.002412,2
660.0,0.00229,2
680.0,0.002178,2
700.0,0.002075,2
720.0,0.001979,2
740.0,0.00189,2
760.0,0.001807,2
780.0,0.00173,2
800.0,0.0016579999999999998,2
850.0,0.001497,2
900.0,0.001359,2
950.0,0.001239,2
1000.0,0.001135,2
1041.0,0.001059,2
1050.0,0.001044,2
1100.0,0.0009639,2
1150.0,0.0008931000000000002,2
1200.0,0.0008302,2
1250.0,0.0007739,2
1253.6,0.0007700000000000001,2
1300.0,0.0007233,2
1350.0,0.0006775,2
1400.0,0.0006359,2
1450.0,0.0005981,2
1486.6,0.0005727,2
1500.0,0.0005637000000000001,2
